route_id,agency_id,route_long_name,route_desc,route_short_name,route_type,route_url,route_color,route_text_color
851,3,,,669,3,,00608B,ffffff
1618,3,,,674,3,,00608B,ffffff
1453,3,,,680,3,,00608B,ffffff
1452,3,,,688,3,,00608B,ffffff
613,3,,,701,3,,00608B,ffffff
1185,3,,,702,3,,00608B,ffffff
1209,3,,,703,3,,00608B,ffffff
1638,3,,,722,3,,00608B,ffffff
1034,3,,,731,3,,00608B,ffffff
1184,3,,,733,3,,00608B,ffffff
165,3,,,738,3,,00608B,ffffff
1228,3,,,740,3,,00608B,ffffff
1364,3,,,742,3,,00608B,ffffff
262,3,,,781,3,,00608B,ffffff
403,3,,,782,3,,00608B,ffffff
578,3,,,786,3,,00608B,ffffff
2555,3,,,795,3,,00608B,ffffff
2556,3,,,795_,3,,00608B,ffffff
1571,3,,,801,3,,00608B,ffffff
325,3,,,802,3,,00608B,ffffff
946,3,,,806,3,,00608B,ffffff
549,3,,,910,3,,00608B,ffffff
1378,3,,,912,3,,00608B,ffffff
805,3,,,914,3,,00608B,ffffff
611,3,,,921,3,,00608B,ffffff
2684,3,,,927,3,,00608B,ffffff
2685,3,,,927_,3,,00608B,ffffff
1008,3,,,950,3,,00608B,ffffff
1387,3,,,953,3,,00608B,ffffff
1388,3,,,953_,3,,00608B,ffffff
99466,2,,,1-1,3,,376530,ffffff
1659,2,,,1-10,3,,376530,ffffff
1662,2,,,1-2,3,,376530,ffffff
1663,2,,,1-3,3,,376530,ffffff
1665,2,,,1-4,3,,376530,ffffff
1664,2,,,1-5,3,,376530,ffffff
1661,2,,,1-6,3,,376530,ffffff
1660,2,,,1-7,3,,376530,ffffff
1658,2,,,1-8,3,,376530,ffffff
99467,2,,,1-9,3,,376530,ffffff
99468,2,,,10-1,3,,376530,ffffff
411,5,,,10-10,3,,6C102D,ffffff
526,5,,,10-11,3,,6C102D,ffffff
1594,3,,,10-12,3,,00608B,ffffff
99469,2,,,10-2,3,,376530,ffffff
99470,2,,,10-3,3,,376530,ffffff
99474,2,,,10-4,3,,376530,ffffff
99471,2,,,10-5,3,,376530,ffffff
99472,2,,,10-6,3,,376530,ffffff
99473,2,,,10-8,3,,376530,ffffff
588,3,,,107A,3,,00608B,ffffff
1119,3,,,107B,3,,00608B,ffffff
729,3,,,113B,3,,00608B,ffffff
20,3,,,114A,3,,00608B,ffffff
99480,2,,,12-1,3,,376530,ffffff
99234,2,,,13-10,3,,376530,ffffff
99385,2,,,13-12,3,,376530,ffffff
1711,4,,,T13-2,3,,D07400,ffffff
17112,4,,,T13-2_,3,,D07400,ffffff
1471,3,,,13-5,3,,00608B,ffffff
9984,2,,,13-6,3,,376530,ffffff
99373,2,,,13-7,3,,376530,ffffff
9985,2,,,13-9,3,,376530,ffffff
570,3,,,736,3,,00608B,ffffff
9980,4,,,14-1,3,,D07400,ffffff
99341,2,,,14-2,3,,376530,ffffff
1541,4,,,14-3,3,,D07400,ffffff
1542,4,,,14-4,3,,D07400,ffffff
402,5,,,14-6,3,,6C102D,ffffff
99317,4,,,14-7,3,,D07400,ffffff
41,4,,,15-1,3,,D07400,ffffff
49,4,,,15-2,3,,D07400,ffffff
1308,4,,,15-3,3,,D07400,ffffff
582,4,,,15-4,3,,D07400,ffffff
1391,4,,,15-5,3,,D07400,ffffff
9968,2,,,16-1,3,,376530,ffffff
9961,2,,,16-10,3,,376530,ffffff
9967,2,,,16-13,3,,376530,ffffff
99395,2,,,16-14,3,,376530,ffffff
9974,2,,,16-2,3,,376530,ffffff
9955,2,,,16-3,3,,376530,ffffff
9971,2,,,16-4,3,,376530,ffffff
9975,2,,,16-5,3,,376530,ffffff
9976,2,,,16-6,3,,376530,ffffff
9970,2,,,16-7,3,,376530,ffffff
9960,2,,,16-8,3,,376530,ffffff
9969,2,,,16-9,3,,376530,ffffff
1216,4,,,17-1,3,,D07400,ffffff
1217,4,,,17-2,3,,D07400,ffffff
398,4,,,17-3,3,,D07400,ffffff
157,4,,,17-7,3,,D07400,ffffff
953,5,,,18-11,3,,6C102D,ffffff
1473,5,,,18-12,3,,6C102D,ffffff
1052,3,,,18-13,3,,00608B,ffffff
1628,3,,,18-14,3,,00608B,ffffff
1079,4,,,18-2,3,,D07400,ffffff
1478,4,,,18-3,3,,D07400,ffffff
1678,4,,,18-5,3,,D07400,ffffff
1051,5,,,18-6,3,,6C102D,ffffff
1265,5,,,18-7,3,,6C102D,ffffff
1418,5,,,18-8,3,,6C102D,ffffff
797,5,,,18-9,3,,6C102D,ffffff
1400,5,,,19-2,3,,6C102D,ffffff
2530,3,,,19-6,3,,00608B,ffffff
433,3,,,193B,3,,00608B,ffffff
99423,2,,,2-1,3,,376530,ffffff
99426,2,,,2-10,3,,376530,ffffff
